ValidName,Synonyms
Macrosoma albida,Hyphedyle albida
Macrosoma albifascia,"Phellinodes expedita, Phellinodes albifascia"
Macrosoma albimacula,Hyphedyle albimacula
Macrosoma albipannosa,Hedyle albipannosa
Macrosoma albistria,Phellinodes albistria
Macrosoma amaculata,
Macrosoma bahiata,Phellinodes bahiata
Macrosoma cascaria,Hyphedyle cascaria
Macrosoma conifera,"Phellinodes latiplex, Phellinodes gorgonensis, Phellinodes zikani, Phellinodes conifera, Phellidones latiplex"
Macrosoma coscoja,Phellinodes coscoja
Macrosoma costilunata,Phellinodes costilunata
Macrosoma hedylaria,Phellinodes hedylaria
Macrosoma heliconiaria,"Hedyle heliconiaria, Hedyle heliconaria"
Macrosoma hyacinthina,Lasiopates hyacinthina
Macrosoma intermedia,"Phellinodes intermedia, Phellinodes biapicata, Phellinodes gratiosa"
Macrosoma klagesi,Phellinodes klagesi
Macrosoma lamellifera,Phellinodes lamellifera
Macrosoma leptosiata,Hedyle leptosiata
Macrosoma leucophasiata,"Phellinodes leucophasiata, Hyphedyle divisa"
Macrosoma leucoplethes,Phellinodes leucoplethes
Macrosoma lucivittata,"Hedyle lucivittata, Phellinodes absentimacula"
Macrosoma majormacula,
Macrosoma minutipuncta,Phellinodes minutipuncta
Macrosoma muscerdata,Phellinodes muscerdata
Macrosoma napiaria,Venodes napiaria
Macrosoma nigrimacula,"Phellinodes cellulata, Phellinodes parornata, Phellinodes nigrimacula, Phellinodes interrupta, Phellinodes obstructa, Phellinodes megalophysa"
Macrosoma paularia,Hyphedyle paularia
Macrosoma pectinogyna,
Macrosoma rubedinaria,Hedyle rubedinaria
Macrosoma satellitiata,"Phellinodes praecostalis, Phellinodes satellitiata, Phellinodes zapotensis"
Macrosoma semiermis,"Hedyle semiermis, Hedyle inermis"
Macrosoma stabilinota,Phellinodes stabilinota
Macrosoma subornata,"Phellinodes desueta, Hyphedyle subornata"
Macrosoma tipulata,Epirrita tipulata
Macrosoma uniformis,Phellinodes uniformis
Macrosoma ustrinaria,Acidalia? ustrinaria
Abantis arctomarginata,
Abantis bamptoni,Abantis neavei
Abantis bergeri,
Abantis bicolor,Leucochitonea bicolor
Abantis bismarcki,
Abantis contigua,
Abantis efulensis,
Abantis elegantula,"Sapaea elegantula, Abantis maesseni"
Abantis eltringhami,
Abantis iruma,
Abantis ituri,
Abantis ja usheri,Abantis usheri
Abantis ja,
Abantis leucogaster rotundala,Abantis rotundala
Abantis leucogaster,Sapaea leucogaster
Abantis lucretia etoumbiensis,Abantis etoumbiensis
Abantis lucretia lofu,Abantis lofu
Abantis lucretia,
Abantis meneliki,Abantis menelik
Abantis meru,
Abantis nigeriana rougeoti,Abantis rougeoti
Abantis nigeriana,
Abantis paradisea,"Hesperia namaquana, Leucochitonea paradisea"
Abantis pseudonigeriana,
Abantis rubra,
Abantis tanobia,
Abantis tettensis,
Abantis venosa,"Leucochitonea umvulensis, Abantis flava, Abantis fulva, Abantis plerotica"
Abantis vidua,
Abantis zambesiaca,"Sapaea trimeni, Hesperia zambesiaca"
Abraximorpha davidii elfina,Abraximorpha elfina
Abraximorpha davidii ermasis,Celaenorrhinus ermasis
Abraximorpha davidii,Pterygospidea davidii
Abraximorpha esta,
Abraximorpha heringi,
Abraximorpha pieridoides,
Acada annulifer,Oxypalpus annulifer
Acada biseriata,"Pamphila biseriata, Parosmodes icteriana, Pamphila zimbazo, Acada biseriatus"
Acerbas anthea luzona,Acerbas luzona
Acerbas anthea pista,Acerbas pista
Acerbas anthea tagiadoides,"Acerbas tagiadoides, Acerbas javanica"
Acerbas anthea,"Hesperia anthea, Cobalus ciliatus, Carystus tagiadoides"
Acerbas azona,"Hesperia cretura, Hesperia azona"
Acerbas duris dorka,Acerbas dorka
Acerbas duris,"Carystus duris, Carystus mabillei"
Acerbas latefascia,
