BNet_UI,Status,ProbeKit,DNA_Yield,DateExtracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,Sequence Successful,ExtractedBy,Contributor,ProjectCode,Type ,DNA_Fragmentation,Notes
BN005325,,,low,7/31/2018,LEP-53097,Nymphalidae,Satyrinae,Satyrini,,Yphthimoides,ochracea,,Abdomen Soak,0.0141,2.82,Yphthimoides ochracea,Yphthimoides ochracea,,,K. Dexter,,,,,1 gene
BN005386,,,low,8/2/2018,LEP-53254,Nymphalidae,Charaxinae,Anaeini,,Fountainea,eurypyle,,Abdomen Soak,0.0202,4.04,Fountainea eurypyle,Fountainea eurypyle,,,K. Dexter,,,,,4 genes
BN005349,,,low,8/2/2018,LEP-53220,Nymphalidae,Satyrinae,Satyrini,,Splendeuptychia,cosmophila,,Abdomen Soak,0.0219,4.38,Splendeuptychia cosmophila,Splendeuptychia cosmophila,,,K. Dexter,,,,,
BN005319,,,low,7/31/2018,LEP-53121,Nymphalidae,Biblidinae,Biblidini,,Myscelia,orsis,,Abdomen Soak,0.0274,5.48,Myscelia orsis,Myscelia orsis,,,K. Dexter,,,,,
BN005321,,,low,7/31/2018,LEP-53117,Nymphalidae,Danainae,Ithomiini,,Ithomia,drymo,,Abdomen Soak,0.0297,5.94,Ithomia drymo,Ithomia drymo,,,K. Dexter,,,,,3 genes
BN005331,,,low,7/31/2018,LEP-50510,Lycaenidae,,,,Eichochrysops,hippocrates,,Abdomen Soak,0.0398,7.96,Eichochrysops hippocrates,Eicochrysops hippocrates,,,K. Dexter,,,,,
BN005377,,,low,8/2/2018,LEP-53282,Nymphalidae,Charaxinae,Preponini,,Prepona,pheridamas,,Abdomen Soak,0.0505,10.1,Prepona pheridamas,Prepona pheridamas,,,K. Dexter,,,,,1 gene
BN005317,,,low,7/31/2018,LEP-53130,Papilionidae,Papilioninae,Troidini,,Parides,agavus,,Abdomen Soak,0.0551,11,Parides agavus,Parides agavus,,,K. Dexter,,,,,2 genes
BN005320,,,low,7/31/2018,LEP-53120,Nymphalidae,Biblidinae,Ageroniini,,Hamadryas,arete,,Abdomen Soak,0.0686,13.7,Hamadryas arete,Hamadryas arete,,,K. Dexter,,,,,
BN005387,,,low,8/2/2018,LEP-53322,Nymphalidae,Satyrinae,,,Praepedaliodes,,,Abdomen Soak,0.0725,14.5,Praepedaliodes ,N/A,,,K. Dexter,,,,,
BN005315,,,low,7/31/2018,LEP-53134,Nymphalidae,Heliconiinae,Heliconiini,,Heliconius,besckei,,Abdomen Soak,0.0835,16.7,Heliconius besckei,Heliconius besckei,,,K. Dexter,,,,,14 genes
BN005318,,,low,7/31/2018,LEP-53124,Pieridae,Pierinae,Anthocharidini,,Hesperocharis,angulea,,Abdomen Soak,0.0853,17.1,Hesperocharis angulea,N/A,,,K. Dexter,,,,,
BN005322,,,low,7/31/2018,LEP-53108,Nymphalidae,Heliconiinae,Heliconiini,,Heliconius,ethila,,Abdomen Soak,0.094,18.8,Heliconius ethila,Heliconius ethilla,,,K. Dexter,,,,,
BN005316,,,good,7/31/2018,LEP-53131,Papilionidae,Papilioninae,Troidini,,Parides,anchises,nephalion,Abdomen Soak,0.109,21.8,Parides anchises,Parides anchises,,,K. Dexter,,,,,2 genes
BN005313,OnGenbank,,good,7/31/2018,LEP-53136,Nymphalidae,Satyrinae,Satyrini,,Forsterinaria,necys,,Abdomen Soak,0.131,26.2,Forsterinaria necys,Forsterinaria necys,,,K. Dexter,,,,,4 genes
BN005354,,,good,8/2/2018,LEP-53264,Nymphalidae,Satyrinae,Satyrini,,Stegosatyrus,ocelloides,,Abdomen Soak,0.134,26.8,Stegosatyrus ocelloides,Stegosatyrus ocelloides,,,K. Dexter,,,,,3 genes
BN005375,,,good,8/2/2018,LEP-53224,Nymphalidae,Nymphalinae,Melitaeini,,Eresia,lansdorfi,,Abdomen Soak,0.141,28.2,Eresia lansdorfi,Eresia lansdorfi,,,K. Dexter,,,,,3 genes
BN005314,,,good,7/31/2018,LEP-53135,Pieridae,Coliadinae,Euremini,,Eurema,leuce,,Abdomen Soak,0.144,28.8,Eurema leuce,N/A,,,K. Dexter,,,,,
BN005307,,,good,7/31/2018,LEP-53184,Papilionidae,Papilioninae,Papilionini,,Heraclides,astyalus,,Abdomen Soak,0.154,30.8,Heraclides astyalus,Heraclides astyalus,,,K. Dexter,,,,,2 genes
