SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DelevieredTo,DelevieredToDate,RAPiD_SampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPID_RowSort,RAPID_ColumnSort,RAPID_UniqueClientCode
YES,YES,YES,,,,FMN_456206_P02_WA01,BN000048,low,13,3/27/2017,GB43,Hedylidae,,,,Macrosoma,muscerdata,,abdomen,0.0103,2.06,Macrosoma muscerdata,Macrosoma muscerdata,7/10/2017,R. St Laurent/K. Dexter,Gunnar Brehm,Hedy,,97,97,GB43
YES,YES,YES,,,,FMN_456206_P02_WA02,BN000066,good,13,6/22/2016,MPUJ_ENT 0041285,Hedylidae,,,,Macrosoma,sp2,,Legs,0.0244,4.88,Macrosoma sp2,Macrosoma sp,7/10/2017,K.Dexter,Sergio Vargas,Hedy,,98,105,MPUJ_ENT0041285
YES,YES,YES,,,,FMN_456206_P02_WA03,BN000034,good,13,4/12/2017,LEP 49979,Hedylidae,,,,Macrosoma,lamellifera,,Abdomen,0.0284,5.68,Macrosoma lamellifera,Macrosoma lamellifera,7/10/2017,K. Dexter,,Hedy,,99,113,LEP49979
YES,YES,YES,,,,FMN_456206_P02_WA04,BN000069,good,13,4/12/2017,LEP 49971,Hedylidae,,,,Macrosoma,stabilnota,,Abdomen,0.0527,10.5,Macrosoma stabilnota,Macrosoma stabilinota,7/10/2017,K. Dexter,,Hedy,,100,121,LEP49971
YES,YES,YES,,,,FMN_456206_P02_WA05,BN000062,good,13,4/12/2017,LEP 49977,Hedylidae,,,,Macrosoma,sp. X,,Abdomen,0.0546,10.9,Macrosoma sp. X,Macrosoma sp,7/10/2017,K.Dexter,,Hedy,,101,129,LEP49977
YES,YES,YES,,,,FMN_456206_P02_WA06,BN000004,good,13,4/12/2017,LEP 49978,Hedylidae,,,,Macrosoma,albimacula,,Abdomen,0.0683,13.7,Macrosoma albimacula,Macrosoma albimacula,7/10/2017,K.Dexter,,Hedy,,102,137,LEP49978
YES,YES,YES,,,,FMN_456206_P02_WA07,BN000003,good,13,4/12/2017,LEP 49969,Hedylidae,,,,Macrosoma,albifascia,,Abdomen,0.109,21.8,Macrosoma albifascia,Macrosoma albifascia,7/10/2017,K.Dexter,,Hedy,,103,145,LEP49969
YES,YES,YES,,,,FMN_456206_P02_WA08,BN000055,good,13,4/12/2017,LEP 49970,Hedylidae,,,,Macrosoma,satellitiata,,Abdomen,0.126,25.2,Macrosoma satellitiata,Macrosoma satellitiata,7/10/2017,K. Dexter,,Hedy,,104,153,LEP49970
YES,YES,YES,,,,FMN_456206_P02_WA09,BN000018,good,13,10/15/2016,LEP 30163,Hedylidae,,,,Macrosoma,coscoja,,Abdomen,0.135,27,Macrosoma coscoja,Macrosoma coscoja,7/10/2017,K.Dexter,,Hedy,,105,161,LEP30163
YES,YES,YES,,,,FMN_456206_P02_WA10,BN000037,good,13,4/12/2017,LEP 30424,Hedylidae,,,,Macrosoma,leucoplethes,,Thorax,0.151,30.2,Macrosoma leucoplethes,Macrosoma leucoplethes,7/10/2017,K. Dexter,,Hedy,,106,169,LEP30424
YES,YES,YES,,,,FMN_456206_P02_WA11,BN000005,good,13,4/12/2017,LEP 49976,Hedylidae,,,,Macrosoma,amaculata,,Abdomen,0.163,32.6,Macrosoma amaculata,Macrosoma amaculata,7/10/2017,K.Dexter,,Hedy,,107,177,LEP49976
YES,YES,YES,,,,FMN_456206_P02_WA12,BN000042,good,13,10/15/2016,LEP 30286,Hedylidae,,,,Macrosoma,lucivittata,,Abdomen,0.165,33,Macrosoma lucivittata,Macrosoma lucivittata,7/10/2017,K.Dexter,,Hedy,,108,185,LEP30286
YES,YES,YES,,,,FMN_456206_P02_WB01,BN000049,good,13,10/15/2016,LEP 30311,Hedylidae,,,,Macrosoma,nigrimacula,,Abdomen,0.186,37.2,Macrosoma nigrimacula,Macrosoma nigrimacula,7/10/2017,K.Dexter,,Hedy,,109,98,LEP30311
YES,YES,YES,,,,FMN_456206_P02_WB02,BN000045,good,13,4/12/2017,LEP 49975,Hedylidae,,,,Macrosoma,majormacula,,Abdomen,0.211,42.2,Macrosoma majormacula,Macrosoma majormacula,7/10/2017,K. Dexter,,Hedy,,110,106,LEP49975
YES,YES,YES,,,,FMN_456206_P02_WB03,BN000008,good,13,4/12/2017,LEP 49974,Hedylidae,,,,Macrosoma,bahiata,,Abdomen,0.216,43.2,Macrosoma bahiata,Macrosoma bahiata,7/10/2017,K.Dexter,,Hedy,,111,114,LEP49974
YES,YES,YES,,,,FMN_456206_P02_WB04,BN000020,good,13,10/15/2016,LEP 30249,Hedylidae,,,,Macrosoma,costilunata,,Abdomen,0.243,48.6,Macrosoma costilunata,Macrosoma costilunata,7/10/2017,K.Dexter,,Hedy,,112,122,LEP30249
YES,YES,YES,,,,FMN_456206_P02_WB05,BN000072,good,13,3/27/2017,GB44,Hedylidae,,,,Macrosoma,ustrinaria,,abdomen,0.243,48.6,Macrosoma ustrinaria,Macrosoma ustrinaria,7/10/2017,R. St Laurent/K. Dexter,Gunnar Brehm,Hedy,,113,130,GB44
YES,YES,YES,,,,FMN_456206_P02_WB06,BN000046,good,13,3/27/2017,GB41,Hedylidae,,,,Macrosoma,minutipuncta,,abdomen,0.274,54.8,Macrosoma minutipuncta,Macrosoma minutipuncta,7/10/2017,R. St Laurent/K. Dexter,Gunnar Brehm,Hedy,,114,138,GB41
YES,YES,YES,,,,FMN_456206_P02_WB07,BN000001,good,13,5/20/2016,LEP 22281,Hedylidae,,,,Macrosoma,albida,,"Head, Thorax, Legs",0.278,55.6,Macrosoma albida,Macrosoma albida,7/10/2017,K.Dexter,,Hedy,,115,146,LEP22281
YES,YES,YES,,,,FMN_456206_P02_WB08,BN000035,good,13,10/15/2016,LEP 30232,Hedylidae,,,,Macrosoma,leucophasiata,,Abdomen,0.28,56,Macrosoma leucophasiata,Macrosoma leucophasiata,7/10/2017,K.Dexter,,Hedy,,116,154,LEP30232
YES,YES,YES,,,,FMN_456206_P02_WB09,BN000028,good,13,4/12/2017,LEP 49973,Hedylidae,,,,Macrosoma,heliconiaria,,Abdomen,0.307,61.4,Macrosoma heliconiaria,Macrosoma heliconiaria,7/10/2017,K.Dexter,,Hedy,,117,162,LEP49973
YES,YES,YES,,,,FMN_456206_P02_WB10,BN000052,good,13,4/12/2017,LEP 49966,Hedylidae,,,,Macrosoma,pectinogyna,,Abdomen,0.311,62.2,Macrosoma pectinogyna,Macrosoma pectinogyna,7/10/2017,K. Dexter,,Hedy,,118,170,LEP49966
YES,YES,YES,,,,FMN_456206_P02_WB11,BN000009,good,13,4/12/2017,LEP 49968,Hedylidae,,,,Macrosoma,cascarina,,Abdomen,0.314,62.8,Macrosoma cascarina,Macrosoma cascaria,7/10/2017,K.Dexter,,Hedy,,119,178,LEP49968
YES,YES,YES,,,,FMN_456206_P02_WB12,BN000059,good,13,5/20/2016,LEP 22567,Hedylidae,,,,Macrosoma,sp.,,"Head, Thorax, Legs",0.355,71,Macrosoma sp.,Macrosoma sp,7/10/2017,K.Dexter,,Hedy,,120,186,LEP22567
YES,YES,YES,,,,FMN_456206_P02_WC01,BN000031,good,13,3/27/2017,GB36,Hedylidae,,,,Macrosoma,hyancinthina,,abdomen,0.42,84,Macrosoma hyancinthina,Macrosoma hyacinthina,7/10/2017,R. St Laurent/K. Dexter,Gunnar Brehm,Hedy,,121,99,GB36
YES,YES,YES,,,,FMN_456206_P02_WC02,BN000012,good,13,3/27/2017,GB42,Hedylidae,,,,Macrosoma,conifera,,abdomen,0.428,85.6,Macrosoma conifera,Macrosoma conifera,7/10/2017,R. St Laurent/K. Dexter,Gunnar Brehm,Hedy,,122,107,GB42
YES,YES,YES,,,,FMN_456206_P02_WC03,BN000060,good,13,10/15/2016,LEP 30285,Hedylidae,,,,Macrosoma,sp.,,Abdomen,0.446,89.2,Macrosoma sp.,Macrosoma sp,7/10/2017,K.Dexter,,Hedy,,123,115,LEP30285
YES,YES,YES,,,,FMN_456206_P01_WD04,BN000186,good,13,9/28/2016,MY-2016-HES-79,Hesperiidae,Coeliadinae,,,Burara,etelka,,Legs,0.205,41,Burara etelka,Burara etelka,1/12/2017,K.Dexter,Yago,Hesp,,40,28,MY2016HES79
YES,YES,YES,,,,FMN_456206_P01_WG08,BN000188,good,13,8/19/2016,LEP 37052 (28a Indo),Hesperiidae,Coeliadinae,,,Burara,harisa,consobrina,Thorax,0.695,139,Burara harisa,Burara harisa,1/12/2017,K.Dexter,,Hesp,,80,63,LEP37052Indo28a
YES,YES,YES,,,,FMN_456206_P01_WH09,BN000183,good,13,10/17/2016,MY-2016-12,Hesperiidae,Coeliadinae,,,Burara,aquilina,aquilina,Thorax,0.897,179,Burara aquilina,Burara aquilina,1/12/2017,K.Dexter,Yago,Hesp,,93,72,MY201612
YES,YES,YES,,,,FMN_456206_P01_WH10,BN000184,good,13,11/17/2016,LEP 14541,Hesperiidae,Coeliadinae,,,Burara,aquilina,,Thorax,0.489,97.8,Burara aquilina,Burara aquilina,1/12/2017,K.Dexter,,Hesp,,94,80,LEP14541
