SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DeliveredTo,DeliveredToDate,RAPiDSampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPIDRowSort,RAPIDColumnSort,RAPIDUniqueClientCode,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA01,BN000614,low,450,8/19/16,LEP 26181,Hesperiidae,Pyrginae,Carcharodini,,Pholisora,catullus,,Legs,0.0221,4.42,Pholisora catullus,Pholisora catullus,12/13/16,K.Dexter,,Hesp,X,1,1,BN000614,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA02,BN000543,good,450,8/19/16,LEP 26595,Hesperiidae,Hesperiinae,Hesperiini,,Ochlodes,sylvanoides,omnigena,Legs,0.0255,5.1,Ochlodes sylvanoides,Ochlodes sylvanoides,12/13/16,K.Dexter,,Hesp,,2,9,BN000543,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA03,BN000145,good,450,9/28/16,MY-2016-HES-63,Hesperiidae,Hesperiinae,,,Astictopterus,jama,,Legs,0.0262,5.24,Astictopterus jama,Astictopterus jama,12/13/16,K.Dexter,Yago,Hesp,X,3,17,BN000145,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA04,BN000572,good,450,9/28/16,LEP 26142,Hesperiidae,Hesperiinae,Carystini,,Panoquina,ocola,ocola,Legs,0.0305,6.1,Panoquina ocola,Panoquina ocola,12/13/16,K.Dexter,,Hesp,,4,25,BN000572,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA05,BN000796,good,450,9/28/16,MY-2016-HES-77,Hesperiidae,Pyrginae,Tagiadini,,Tapena,thwaitesi,bornea,Legs,0.0371,7.42,Tapena thwaitesi,Tapena thwaitesi,12/13/16,K.Dexter,Yago,Hesp,X,5,33,BN000796,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA06,BN000884,good,450,9/28/16,LEP 26148,Hesperiidae,Hesperiinae,Hesperiini,,Wallengrenia,otho,otho,Legs,0.038,7.6,Wallengrenia otho,Wallengrenia otho,12/13/16,K.Dexter,,Hesp,,6,41,BN000884,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA07,BN000167,good,450,9/28/16,MY-2016-HES-61,Hesperiidae,Coeliadinae,,,Bibasis,sena,,Legs,,7.8,Bibasis sena,Bibasis sena,12/13/16,K.Dexter,Yago,Hesp,X,7,49,BN000167,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA08,BN000443,good,450,9/28/16,MY-2016-HES-59,Hesperiidae,Hesperiinae,Erionotini,,Isma,bononia,idyalis,Legs,0.0393,7.86,Isma bononia,Isma bononia,12/13/16,K.Dexter,Yago,Hesp,,8,57,BN000443,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA09,BN000088,good,450,10/17/16,MY-2016-10,Hesperiidae,Hesperiinae,Aeromachini,,Aeromachus,inachus,inachus,Legs,0.0426,8.52,Aeromachus inachus,Aeromachus inachus,12/13/16,K.Dexter,Yago,,,9,65,BN000088,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA10,BN000208,good,450,9/28/16,MY-2016-HES-50,Hesperiidae,Hesperiinae,Gegenini,,Caltoris,cormasa,,Legs,0.0546,10.9,Caltoris cormasa,Caltoris cormasa,12/13/16,K.Dexter,Yago,Hesp,,10,73,BN000208,,,,,,,
