SampleID,VoucherID,ProjectCode,GeneKit,VoucherInstitution,SpecimenProvider,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,SubSpecies,UsrValidName,TissueType,VoucherType,Sex,Country,Province,Island(ifapplicable),Locality,Latitude,Longitude,Elevation,CollectionDate,CollectionDay,CollectionMonth,CollectionYear,Collector,SpecimenIdentifiedby,TypeSpecies,OutGroup,Prioritylevel,SubmissionCode,SubmissionDate,SheetName,Notes
1,1,Hesp,,,,Papilionoidea,Hesperiidae,,,,Potanthus,omaha,omaha,Potanthus omaha,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
2,2,Hesp,,,,Papilionoidea,Hesperiidae,,,,Salanoemia,fuscicornis,,Salanoemia fuscicornis,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
3,3,Hesp,,,,Papilionoidea,Hesperiidae,,,,Notocrypta,paralysos,asawa,Notocrypta paralysos,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
4,4,Hesp,,,,Papilionoidea,Hesperiidae,,,,Lotongus,calathus,calathus,Lotongus calathus,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
5,5,Hesp,,,,Papilionoidea,Hesperiidae,,,,Cupitha,purreea,,Cupitha purreea,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
6,6,Hesp,,,,Papilionoidea,Hesperiidae,,,,Psolos,fuligo,fuligo,Psolos fuligo,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
7,7,Hesp,,,,Papilionoidea,Hesperiidae,,,,Iambrix,salsala,,Iambrix salsala,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,1. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
8,8,Hesp,,,,Papilionoidea,Hesperiidae,,,,Potanthus,omaha,omaha,Potanthus omaha,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
9,9,Hesp,,,,Papilionoidea,Hesperiidae,,,,Pelopidas,mathias,mathias,Pelopidas mathias,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,2. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
10,10,Hesp,,,,Papilionoidea,Hesperiidae,,,,Polytremis,lubricans,lubricans,Polytremis lubricans,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,3. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
11,11,Hesp,,,,Papilionoidea,Hesperiidae,,,,Zela,elioti,,Zela elioti,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,23. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
12,12,Hesp,,,,Papilionoidea,Hesperiidae,,,,Ge,geta,,Ge geta,,,Female,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,30. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
13,13,Hesp,,,,Papilionoidea,Hesperiidae,,,,Matapa,aria,,Matapa aria,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,30. Jun. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
14,14,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hyarotis,adrastus,praba,Hyarotis adrastus,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,3. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
15,15,Hesp,,,,Papilionoidea,Hesperiidae,,,,Hyarotis,microsticta,microsticta,Hyarotis microsticta,,,Male,Malaysia,Langkawi,,Kisap,N06∞21.936,E99∞51.696,30m,3. Jul. 2016,,,,Kiyoshi Maruyama,,,,,,,201609Maruyama?????.xls,
