Sample_ID,Voucher_ID ,Project_Code,Gene_Kit ,Voucher_Institution,Specimen_Provider ,Superfamily,Family,Subfamily,Tribe,Section,Genus,Species,Sub-Species,Valid_Name,Tissue_Type,Voucher_Type,Sex,Country,Province,Island,Locality,Latitude,Longitude,Elevation ,Collection_Date,Collection_Day,Collection_Month,Collection_Year,Collector,Specimen_Identified_by,Type_Species,Out_Group,Priority_level,Submission_Code,Submission_Date
1004PLACE0762,RV-06-A535,"Pier, Genu",450,MCZ,MCZ,Papilionoidea,Pieridae,Dismorphiinae,,,Enantia,melite,,Enantia melite,abdomen,alcoholic,,Venezuela,Aragua,,"El Portachuelo Pass, Rancho Grande, Henry Pittier Natural Park, Maraca","10°20'51.17""","-67°41'16.32""",1125.1,7/12/2006,12,July,2006,Roger Vila,Rod Eastwood,X,,2,CCNY-BN-005,17-Dec-17
1004PLACE0763,DJM-07-A123,Pier,13,MCZ,MCZ,Papilionoidea,Pieridae,Pierinae,Pierini,,Belenois,sudanensis,,Belenois sudanensis,abdomen,alcoholic,,Kenya,Western,,Kakamega Forest,,,,12/24/2007,24,December,2007,Dino J. Martins,Dino J. Martins,,,2,CCNY-BN-005,17-Dec-17
1004PLACE0764,DJM-07-A126,Pier,13,MCZ,MCZ,Papilionoidea,Pieridae,Pierinae,Leptosiaini,,Leptosia,hybrida,somereni,Leptosia hybrida,abdomen,alcoholic,,Kenya,Western,,Kakamega Forest,,,,12/24/2007,24,December,2007,Dino J. Martins,Dino J. Martins,,,2,CCNY-BN-005,17-Dec-17
1004PLACE0765,DJM-07-A127,Dana,13,MCZ,MCZ,Papilionoidea,Nymphalidae,Danainae,Danaini,,Tirumala,formosa,formosa,Tirumala formosa,abdomen,alcoholic,,Kenya,Western,,Kakamega Forest,,,,12/24/2007,24,December,2007,Dino J. Martins,Dino J. Martins,,,2,CCNY-BN-005,17-Dec-17
1004PLACE0766,DJM-07-A129,Dana,13,MCZ,MCZ,Papilionoidea,Nymphalidae,Danainae,Danaini,,Amauris,albimaculata,interposita,Amauris albimaculata,abdomen,alcoholic,,Kenya,Western,,Kakamega Forest,,,,12/24/2007,24,December,2007,Dino J. Martins,Dino J. Martins,,,2,CCNY-BN-005,17-Dec-17
1004PLACE0767,DJM-07-A198,Pier,13,MCZ,MCZ,Papilionoidea,Pieridae,Pierinae,Elodinini,,Colotis,chrysonome,,Colotis chrysonome,abdomen,alcoholic,,Kenya,Rift Valley,,"Olorgesailie, Rift Valley",,,,5/14/2008,14,May,2008,Dino J. Martins,Dino J. Martins,,,2,CCNY-BN-005,17-Dec-17
1004PLACE0768,DJM-07-A205,"Eure, Pier",13,MCZ,MCZ,Papilionoidea,Pieridae,Coliadinae,,,Eurema,senegalensis,,Eurema senegalensis,abdomen,alcoholic,,Kenya,Rift Valley,,"Tugen Hills, Rift Valley",,,,5/2/2008,2,May,2008,Dino J. Martins,Dino J. Martins,,,1,CCNY-BN-005,17-Dec-17
1004PLACE0769,AJG-07-E201,Pier,13,MCZ,MCZ,Papilionoidea,Pieridae,Pierinae,Pierini,,Mylothris,similis,,Mylothris similis,abdomen,alcoholic,male,Zambia,North-Western,,Mosa Hill,,,,6/7/2007,7,June,2007,A. J. Gardiner,A. J. Gardiner,,,2,CCNY-BN-005,17-Dec-17
1004PLACE0770,AJG-07-N740,Pier,13,MCZ,MCZ,Papilionoidea,Pieridae,Pierinae,Pierini,,Mylothris,sagala,umtaliana,Mylothris sagala,abdomen,alcoholic,male,Zimbabwe,,,Bvumba,,,,9/30/2006,30,September,2006,A. J. Gardiner,A. J. Gardiner,,,2,CCNY-BN-005,17-Dec-17
1004PLACE0771,AJG-07-N772,Adol,13,MCZ,MCZ,Papilionoidea,Nymphalidae,Limenitidinae,Limenitidini,,Euphaedra,nigrobasalis,,Euphaedra nigrobasalis,abdomen,alcoholic,male,Zambia,,,,,,,5/12/2006,12,May,2006,A. J. Gardiner,A. J. Gardiner,,,1,CCNY-BN-005,17-Dec-17
